"Story","Title","Result","Date","Stability","Duration (s)"
"Add test","Add failed","SUCCESS","2019-05-12T10:26:43.723+03:00[Europe/Athens]","0.0","18.7"
"Add test","Add succes","SUCCESS","2019-05-12T10:27:04.01+03:00[Europe/Athens]","0.0","3.66"
"Facebook login test","Failed log in","SUCCESS","2019-05-13T20:09:09.33+03:00[Europe/Athens]","0.0","23.6"
"Facebook login test","Successfully log in","SUCCESS","2019-05-13T20:09:33.521+03:00[Europe/Athens]","0.0","10.82"
"Login test","Failed log in","SUCCESS","2019-05-14T13:19:18.323+03:00[Europe/Athens]","0.0","15.87"
"Login test","Successfully log in","SUCCESS","2019-05-14T13:19:34.611+03:00[Europe/Athens]","0.0","17.0"
"Search test","Search f","SUCCESS","2019-05-14T13:20:05.14+03:00[Europe/Athens]","0.0","43.05"
"Search test","Search t","SUCCESS","2019-05-14T13:20:48.632+03:00[Europe/Athens]","0.0","9.13"
"Sign up test","Successfully log in","SUCCESS","2019-05-14T13:24:27.882+03:00[Europe/Athens]","0.0","20.91"
